stock,sector,sub_sector,earnings_date,is_large_reaction,is_extreme_reaction,hist_extreme_prob,global_hist_prob,current_lift_vs_baseline,current_lift_vs_same_bucket_global,extreme_count,risk_level,risk_score,base_extreme_prob
CVX,Energy,Integrated Oil & Gas,2025-10-31,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,67.0,0.116
D,Utilities,Multi-Utilities,2025-02-20,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,35.0,0.116
D,Utilities,Multi-Utilities,2025-05-01,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,32.0,0.116
D,Utilities,Multi-Utilities,2025-08-01,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,48.0,0.116
D,Utilities,Multi-Utilities,2025-10-31,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,52.0,0.116
DAL,Industrials,Passenger Airlines,2025-01-10,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,67.0,0.116
DAL,Industrials,Passenger Airlines,2025-04-09,1,1,0.105,0.105,0.907,1.0,854.0,Very Low,42.0,0.116
DAL,Industrials,Passenger Airlines,2025-07-10,0,0,0.052,0.052,0.449,1.0,423.0,Low,56.0,0.116
DAL,Industrials,Passenger Airlines,2025-10-09,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,74.0,0.116
DASH,Consumer Discretionary,Specialized Consumer Services,2025-02-11,1,1,0.251,0.251,2.163,1.0,2036.0,Extreme,100.0,0.116
DASH,Consumer Discretionary,Specialized Consumer Services,2025-05-06,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,94.0,0.116
DASH,Consumer Discretionary,Specialized Consumer Services,2025-08-06,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,100.0,0.116
DASH,Consumer Discretionary,Specialized Consumer Services,2025-10-29,1,1,0.251,0.251,2.163,1.0,2036.0,Extreme,100.0,0.116
DD,Materials,Specialty Chemicals,2025-02-11,0,0,0.052,0.052,0.449,1.0,423.0,Low,60.0,0.116
DD,Materials,Specialty Chemicals,2025-05-02,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,26.0,0.116
DD,Materials,Specialty Chemicals,2025-08-05,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,46.0,0.116
DD,Materials,Specialty Chemicals,2025-11-10,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,35.0,0.116
DDOG,Information Technology,Application Software,2025-02-13,1,0,0.251,0.251,2.163,1.0,2036.0,Extreme,97.0,0.116
DDOG,Information Technology,Application Software,2025-05-06,0,0,0.091,0.091,0.786,1.0,740.0,High,84.0,0.116
DDOG,Information Technology,Application Software,2025-08-07,1,0,0.091,0.091,0.786,1.0,740.0,High,83.0,0.116
DDOG,Information Technology,Application Software,2025-11-06,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,87.0,0.116
DE,Industrials,Agricultural & Farm Machinery,2025-02-13,1,1,0.052,0.052,0.449,1.0,423.0,Low,56.0,0.116
DE,Industrials,Agricultural & Farm Machinery,2025-05-15,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,41.0,0.116
DE,Industrials,Agricultural & Farm Machinery,2025-08-14,0,0,0.052,0.052,0.449,1.0,423.0,Low,58.0,0.116
DE,Industrials,Agricultural & Farm Machinery,2025-11-26,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,71.0,0.116
DECK,Consumer Discretionary,Footwear,2025-01-30,1,1,0.251,0.251,2.163,1.0,2036.0,Extreme,99.0,0.116
DECK,Consumer Discretionary,Footwear,2025-05-21,1,1,0.251,0.251,2.163,1.0,2036.0,Extreme,89.0,0.116
DECK,Consumer Discretionary,Footwear,2025-07-24,1,0,0.251,0.251,2.163,1.0,2036.0,Extreme,100.0,0.116
DECK,Consumer Discretionary,Footwear,2025-10-23,1,1,0.251,0.251,2.163,1.0,2036.0,Extreme,99.0,0.116
DELL,Information Technology,"Technology Hardware, Storage & Peripherals",2025-02-27,1,1,0.251,0.251,2.163,1.0,2036.0,Extreme,97.0,0.116
DELL,Information Technology,"Technology Hardware, Storage & Peripherals",2025-05-29,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,100.0,0.116
DELL,Information Technology,"Technology Hardware, Storage & Peripherals",2025-08-28,1,0,0.251,0.251,2.163,1.0,2036.0,Extreme,100.0,0.116
